Article number,Publication Type,Assignment,Primary Theme,Secondary theme(s),Additional Tags,Primary Approach,Additional Approaches,Country/Counties ,Geography (as many as applicable),Additional Notes,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",Years since publication,Times cited per year,180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
,,,1 selection,As many as applicable,,1 selection,As many as applicable,"type in country name(s) OR state ""global"" if global study OR or name continent if in many countries on a single continent, OR type 'NA' if no study locaiton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,J,Ted,N2 Fixation,Nutrients (macro),Nitrogen,Lab/Experimental,,US,"""North America: United States, Canada""",,"OGAWA, RE; CARR, JF",,,,"OGAWA, RE; CARR, JF",,,INFLUENCE OF NITROGEN ON HETEROCYST PRODUCTION IN BLUE-GREEN ALGAE,LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,,,,,,,,,,,30,46,49,55,0.9,1,4,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1969,14,3,,,,,342,&,,10.4319/lo.1969.14.3.0342,http://dx.doi.org/10.4319/lo.1969.14.3.0342,,,,0,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,D5362,,Bronze,,,2023-12-14,WOS:A1969D536200004,View Full Record in Web of Science
5,J,Ted,""" Light, primary production, and photosynthesis""",,,Field,In-lake/stream incubation,US,"""North America: United States, Canada""",,"BAKER, AL; BROOK, AJ; KLEMER, AR",,,,"BAKER, AL; BROOK, AJ; KLEMER, AR",,,SOME PHOTOSYNTHETIC CHARACTERISTICS OF A NATURALLY OCCURRING POPULATION OF OSCILLATORIA AGARDHII GOMONT,LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,,,,,,,,,,,15,20,21,55,0.4,0,0,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1969,14,3,,,,,327,&,,10.4319/lo.1969.14.3.0327,http://dx.doi.org/10.4319/lo.1969.14.3.0327,,,,0,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,D5362,,Bronze,,,2023-12-14,WOS:A1969D536200002,View Full Record in Web of Science
7,J,Ted,Foodweb interactions,,Zooplankton,Lab/Experimental,,US,"""North America: United States, Canada""",,"ARNOLD, DE",,,,"ARNOLD, DE",,,"INGESTION, ASSIMILATION, SURVIVAL, AND REPRODUCTION BY DAPHNIA-PULEX FED 7 SPECIES OF BLUE-GREEN-ALGAE",LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,,,,,,,,,,,51,280,307,53,5.8,0,19,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1971,16,6,,,,,906,&,,10.4319/lo.1971.16.6.0906,http://dx.doi.org/10.4319/lo.1971.16.6.0906,,,,0,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,L9071,,"Green Submitted, Bronze",,,2023-12-14,WOS:A1971L907100008,View Full Record in Web of Science
10,J,Ted,N2 Fixation,"Nutrients (macro), "" Light, primary production, and photosynthesis""",Nitrogen,Field,,US,"""North America: United States, Canada""",,"HORNE, AJ; DILLARD, JE; FUJITA, DK; GOLDMAN, CR",,,,"HORNE, AJ; DILLARD, JE; FUJITA, DK; GOLDMAN, CR",,,"NITROGEN-FIXATION IN CLEAR-LAKE, CALIFORNIA .2. SYNOPTIC STUDIES ON AUTUMN ANABAENA BLOOM",LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,"UNIV CALIF,INST ECOL,CLEAR LAKE ALGAL RES UNIT,DAVIS,CA 95616; UNIV CALIF,DIV ENVIRONM STUDIES,DAVIS,CA 95616",University of California System; University of California Davis; University of California System; University of California Davis,,,,,,,,,22,63,66,52,1.3,0,1,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1972,17,5,,,,,693,703,,10.4319/lo.1972.17.5.0693,http://dx.doi.org/10.4319/lo.1972.17.5.0693,,,,11,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,O3759,,Bronze,,,2023-12-14,WOS:A1972O375900005,View Full Record in Web of Science
11,J,Ted,""" Light, primary production, and photosynthesis""",Nutrients (macro),Carbon,Lab/Experimental,,US,"""North America: United States, Canada""",,"SAUNDERS, GW",,,,"SAUNDERS, GW",,,POTENTIAL HETEROTROPHY IN A NATURAL POPULATION OF OSCILLATORIA-AGARDHII VAR ISOTHRIX SKUJA,LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,"UNIV MICHIGAN,DEPT ZOOL,ANN ARBOR,MI 48104",University of Michigan System; University of Michigan,,,"Saunders, Gary W/D-8767-2014","Saunders, Gary W/0000-0003-4813-6831",,,,,24,36,38,52,0.7,0,2,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1972,17,5,,,,,704,711,,10.4319/lo.1972.17.5.0704,http://dx.doi.org/10.4319/lo.1972.17.5.0704,,,,8,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,O3759,,Green Submitted,,,2023-12-14,WOS:A1972O375900006,View Full Record in Web of Science
13,J,Ted,Method development,Buoyancy and physical drivers of surface bloom formation,,Lab/Experimental,,US,"""North America: United States, Canada""",,"WALSBY, AE",,,,"WALSBY, AE",,,"PORTABLE APPARATUS FOR MEASURING RELATIVE GAS VACUOLATION, STRENGTH OF GAS VACUOLES, AND TURGOR PRESSURE IN PLANKTONIC BLUE-GREEN-ALGAE AND BACTERIA",LIMNOLOGY AND OCEANOGRAPHY,,,English,Note,,,,,,,,,"UNIV CALIF,DEPT BOT,BERKELEY,CA 94720",University of California System; University of California Berkeley,,,,,,,,,12,78,82,51,1.6,0,2,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1973,18,4,,,,,653,658,,10.4319/lo.1973.18.4.0653,http://dx.doi.org/10.4319/lo.1973.18.4.0653,,,,6,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,R0658,,Bronze,,,2023-12-14,WOS:A1973R065800016,View Full Record in Web of Science
12,J,Ted,""" Light, primary production, and photosynthesis""",,,Lab/Experimental,In-lake/stream incubation,US,"""North America: United States, Canada""",,"SPERLING, JA; HALE, GM",,,,"SPERLING, JA; HALE, GM",,,PATTERNS OF RADIOCARBON UPTAKE BY A THERMOPHILIC BLUE-GREEN-ALGA UNDER VARYING CONDITIONS OF INCUBATION,LIMNOLOGY AND OCEANOGRAPHY,,,English,Note,,,,,,,,,"CITY UNIV NEW YORK,QUEENS COLL,DEPT BIOL,FLUSHING,NY 11357; CITY UNIV NEW YORK,HOSTOS COMMUNITY COLL,DEPT BIOL,BRONX,NY 10451",City University of New York (CUNY) System; Queens College NY (CUNY); City University of New York (CUNY) System,,,,,,,,,4,2,2,51,0.0,0,0,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1973,18,4,,,,,658,662,,10.4319/lo.1973.18.4.0658,http://dx.doi.org/10.4319/lo.1973.18.4.0658,,,,5,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,R0658,,Bronze,,,2023-12-14,WOS:A1973R065800017,View Full Record in Web of Science
14,J,Ted,Temperature,""" Light, primary production, and photosynthesis""",,Lab/Experimental,,US,"""North America: United States, Canada""",,"JACKSON, JE; CASTENHOLZ, RW",,,,"JACKSON, JE; CASTENHOLZ, RW",,,FIDELITY OF THERMOPHILIC BLUE-GREEN-ALGAE TO HOT SPRING HABITATS,LIMNOLOGY AND OCEANOGRAPHY,,,English,Article,,,,,,,,,"UNIV OREGON, DEPT BIOL, EUGENE, OR 97403 USA",University of Oregon,,,,,,,,,17,17,18,49,0.4,1,2,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0024-3590,1939-5590,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1975,20,3,,,,,305,322,,10.4319/lo.1975.20.3.0305,http://dx.doi.org/10.4319/lo.1975.20.3.0305,,,,18,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,AG925,,,,,2023-12-14,WOS:A1975AG92500001,View Full Record in Web of Science
21,J,Ted,Method development,,,Lab/Experimental,,US,"""North America: United States, Canada""",,"BROCK, TD",,,,"BROCK, TD",,,"USE OF FLUORESCENCE MICROSCOPY FOR QUANTIFYING PHYTOPLANKTON, ESPECIALLY FILAMENTOUS BLUE-GREEN-ALGAE",LIMNOLOGY AND OCEANOGRAPHY,,,English,Note,,,,,,,,,,,"BROCK, TD (corresponding author), UNIV WISCONSIN,DEPT BACTERIOL,MADISON,WI 53706, USA.",,,,,,,,5,27,28,46,0.6,0,2,AMER SOC LIMNOLOGY OCEANOGRAPHY,WACO,"5400 BOSQUE BLVD, STE 680, WACO, TX 76710-4446",0024-3590,,,LIMNOL OCEANOGR,Limnol. Oceanogr.,,1978,23,1,,,,,158,160,,10.4319/lo.1978.23.1.0158,http://dx.doi.org/10.4319/lo.1978.23.1.0158,,,,3,Limnology; Oceanography,Science Citation Index Expanded (SCI-EXPANDED),Marine & Freshwater Biology; Oceanography,EW907,,Bronze,,,2023-12-14,WOS:A1978EW90700017,View Full Record in Web of Science
